ExpressionAnglaise,ExpressionFrançaise,Image,Origine,Type
All ears,Tout ouïe,allEars.jpg,"Cettte expression remonte au 16ème siècle. John Heywood est l'un des premiers à l'utiliser dans sa collection de proverbes de 1546.",3
To cross one’s fingers,Croiser les doigts,crossfingers.webp,"Cette formulation provient de l'ère médiévale. Elle servait à éloigner le Diable ou conjurer le mauvais sort.  De plus, les chrétiens l'auraient utilisée comme signe de reconnaissance pour éviter la persécution.",1
To beat around the bush,Tourner autour du pot,beatBush.jpg,"Cette expression trouve son origine dans la chasse où l'on battait les buissons pour faire sortir le gibier sans s'approcher directement de ce dernier. Il s'agit donc aujourd'hui d'une méatphore signifiant que l'on n'aborde pas directement un problème.",2
A piece of cake,Quelque chose de très facile,pieceCake.jpg,"Cette expression commune à de nombreux pays aurait émergé en Angleterre au XXème siècle. Elle fait référence à la simplicité et la satisfaction de manger un morceau de gâteau.",1
To feel under the weather,Ne pas se sentir bien,underWeather.jpg,"Cette expression pourrait trouver son origine dans le milieu maritime. En effet, quand un marin avait le mal de mer, il était envoyé sous le pont pour ne plus avoir à supporter le temps.",3
To take it easy,Détends-toi,takeiteasy.webp,"Cette expression est apparue pour la première fois dans le roman 'Tom Sawyer' de Mark Twain en 1876. Elle est utilisée pour dire à quelqu'un de se détendre ou de ne pas se précipiter.",3
Go round in circles,Tourner en rond,roundCircles.jpg,"Cette expression date de la première moitié du XXème siècle. Patricia Wentworth l'utilise dans sa nouvelle Pursuit of a Parcel de 1942 pour parler d'un de ses caractères. Cependant, on pense que son invention viendrait du principe des courses à pieds.. ",1
To sleep on it,La nuit porte conseil,sleepIt.jpg,"Dès 1519, on retrouve une occurrence de cette expression en vieil anglais dans State Paper of Henry VIII selon les termes suivants : His Grace […] sayd that the wold slepe and drem upon the matter",2
To be broke,Être fauché,bebroke.webp,"Après la Renaissance, les banquiers avaient pour habitude de prêter de l'argent via des tuiles en porcelaine. Le nom du propriétaire, la limite de crédit et le nom de la banque étaient gravés sur ces tuiles. Pour chaque emprunt, la tuile était vérifiée. Cependant, quand le client n'était plus solvable, la tuile était cassée.",3
To know it like the back of one’s hand,Connaître quelque chose sur le bout des doigts,backofhand.webp,"Cette expression date du XXème siècle et a été popularisée après son utilisation dans le roman d'aventure Catriona de Robert Louis Stevenson.",2
Once in a blue moon,Tous les 36 du mois,blueMoon.jpg,"Contrairement à ce qu'on pourrait croire, cette expression ne fait pas référence à une deuxième pleine lune dans le même mois souvent qualifiée de lune bleue (ce phénomène n'apparaît que tous les 32 mois). En effet, elle est dérivée de l'expression once in a moon qui signifie une fois par mois, donc occasionellement.",2
Out of the blue,Sans crier gare,outBlue.jpg,"Cette expression est utilisée depuis le XIXème siècle pour décrire quelque chose qui arrive de manière inattendue. Son origine exacte est inconnue, mais elle pourrait faire référence au ciel bleu d'où peuvent surgir des événements imprévus.",3
As easy as a duck soup,Un jeu d’enfant,duckSoupe.webp,"Cette expression est utilisée depuis le XIXème siècle pour décrire quelque chose de facile à faire. Son origine exacte est inconnue, mais elle pourrait faire référence à la facilité de chasser les canards ou à la simplicité de préparer une soupe de canard.",3
The cream of the crop,La crème de la crème,creamCrop.jpg,"Cette expression est utilisée depuis le XVIIème siècle pour décrire le meilleur d'un groupe ou d'une catégorie. Elle fait référence à la crème qui remonte à la surface du lait, symbole de la partie la plus riche et la plus pure.",3
An early bird,Un lève tôt,early.jpg,"Cette expression existe depuis le XIVème siècle. Elle fait référence aux oiseaux qui se lèvent tôt pour chercher leur nourriture, symbole de l'avantage d'être matinal.",5
A dark owl,Un couche-tard,nightOwl.jpg,"Cette expression est utilisée depuis le XVIIème siècle pour décrire une personne qui reste éveillée tard dans la nuit. Elle fait référence aux chouettes et aux hiboux, oiseaux nocturnes par excellence.",5
A cock and bull story,Une histoire à dormir debout,cockAndBull.webp,"Cette expression est utilisée depuis le XVIIIème siècle pour décrire une histoire invraisemblable. Son origine exacte est inconnue, mais elle pourrait faire référence à deux auberges anglaises du nom de 'Cock' et 'Bull' où les voyageurs auraient l'habitude de raconter des histoires exagérées.",2
It’s raining cats and dogs,Il pleut des cordes,rainCatDog.jpg,Cette expression serait due aux déluges du XVIIème siècle en Angleterre où les rues inondées par de fortes pluies révélaient parfois les corps de chats et de chiens emportés par les eaux.,2
To create a storm in a teacup,En faire tout un fromage,teaCut.jpg,,2
That rings me a bell,Cela me dit quelque chose,ringBell.jpg,,4
We are in deep water,On est dans le pétrin,deepWater.jpg,,2
As good as gold,Bien élevé,goodAsGold,"Cette expression est utilisée depuis le XIXème siècle pour décrire quelqu'un de fiable et de digne de confiance. Elle fait référence à l'or, symbole de valeur et de qualité.",3
To spill the beans,Vendre la mèche,spillBeans.jpg,"Cette expression est utilisée depuis le XIXème siècle pour décrire le fait de révéler un secret. Son origine exacte est inconnue, mais elle pourrait faire référence à la pratique de voter en utilisant des haricots dans la Grèce antique. Si quelqu'un renversait les haricots, le vote était révélé.",4
To get cold feet,Avoir le trac,coldFeet.jpg,"Cette expression est utilisée depuis le XIXème siècle pour décrire une soudaine perte de courage ou de confiance. Son origine exacte est inconnue, mais elle pourrait faire référence à la sensation de froid aux pieds qui accompagne souvent la peur.",4
Icing on the cake,La cerise sur le gâteau,icingCake.jpg,"Cette expression est utilisée depuis le XXème siècle pour décrire quelque chose qui ajoute une touche finale agréable à une situation déjà positive. Elle fait référence au glaçage sucré qui recouvre les gâteaux, symbole d'une douceur supplémentaire.",2
I worked my fingers to the bone,Travailler d’arrache-pied,fingersBone.jpg,,3
It’s not my cup of tea,Ce n’est pas ma tasse de thé,cupTea.jpg,,1
Seize the day,Profite du moment présent,seizeDay.webp,"Cette expression est une traduction de l'expression latine 'Carpe Diem'. Elle a été popularisée par le poète romain Horace au Ier siècle avant J.-C. et est utilisée depuis pour encourager à profiter du moment présent.",3
To belong somewhere,Être à sa place,Opposite : a fish out of water,,3
Don’t judge a book by its cover,Ne pas se fier aux apparences,judgeBook.jpg,"Cette expression est utilisée depuis le XIXème siècle pour mettre en garde contre le fait de juger quelque chose ou quelqu'un sur l'apparence. Emme a été popularisée par le romancier américain George Eliot en 1860.",1
To kill two birds with one stone,Faire d’une pierre deux coups,birdsStone.jpg,"Cette expression est utilisée depuis le XVIème siècle pour décrire l'accomplissement de deux tâches en une seule action, symbole d'efficacité",2
Like father like son,Tel père tel fils,fatherSon.jpg,"Cette expression est utilisée depuis le XIVème siècle pour décrire la ressemblance entre un père et son fils. Elle fait référence à l'idée que les enfants héritent souvent des caractéristiques de leurs parents, qu'elles soient physiques ou comportementales.",1
When pigs fly,Quand les poules auront des dents,pig.jpg,"L'origine de cette expression est la version latine du XVIème siècle : 'cum porcis volare cum suis alis'. Elle est utilisée depuis le XVIème siècle.",2
Tit for tat,Œil pour œil dent pour dent,titForTat.webp,"Cette expression est utilisée depuis le XVIème siècle pour décrire la pratique de rendre la pareille à quelqu'un qui a causé du tort. Elle fait référence à l'idée de rendre coup pour coup, de manière égale.",2
Better late than never,Mieux vaut tard que jamais,lateNever.jpg,"Cette expression est utilisée depuis le XVIème siècle pour encourager à faire quelque chose même si c'est tard. Elle fait référence à l'idée qu'il vaut mieux faire quelque chose tardivement que de ne pas le faire du tout.",1
The early bird catches the worm,Le monde appartient à celui qui se lève tôt,earlyBird.jpg,"Cette expression est utilisée depuis le XVIème siècle pour encourager à profiter au maximum des opportunités d'une journée. Elle fait référence à l'idée que les oiseaux qui se lèvent tôt ont plus de chances d'attraper des vers.",2
To put the cart before the horse,Mettre la charrue avant les bœufs,cartHorse.jpg,"Datant du XVIème siècle, cette expression décrit une action contre-productive. Ainsi, elle encourage à faire les choses dans l'ordre.",2
Spare the rod spare the child,Qui aime bien châtie bien,spareTheRod.webp,"Cette expression est utilisée depuis le XVIIème siècle pour encourager la discipline des enfants. Elle fait référence à l'idée que la punition est nécessaire pour éduquer les enfants, bien que cette idée soit aujourd'hui controversée.",2
You cannot have your cake and eat it too,On ne peut pas avoir le beurre et l’argent du beurre,cakeEat.jpg,"Cette expression est utilisée depuis le XVIème siècle pour décrire le fait de vouloir deux choses incompatibles. Elle fait référence à l'idée qu'on ne peut pas manger un gâteau et le garder en même temps.",2
It’s up to you,C’est à toi de décider,upToYou.webp,"Cette expression est utilisée depuis le XIXème siècle pour laisser à quelqu'un le choix ou la responsabilité de faire quelque chose.",3
See you soon,A bientôt,seeYouSoon.webp,"Cette expression est utilisée depuis le XIXème siècle pour dire au revoir avec l'intention de se revoir bientôt. Son origine exacte est inconnue, mais elle est devenue une formule de politesse courante.",3
Break a leg,Bonne chance,breakLeg.jpg,Cette expression proviendrait du milieu théâtrale. Les acteurs doivent en effet se 'casser la jambe' pour saluer le public à la fin de la représentation.,3
So far so good,Jusqu’ici tout va bien,,"Cette expression est utilisée depuis le XIXème siècle pour dire que les choses se passent bien jusqu'à présent. Son origine exacte est inconnue, mais elle est devenue une formule courante pour exprimer la satisfaction provisoire.",4
Pull yourself together,Calme-toi,pullTogether.jpg,"Cette expression est utilisée depuis le XIXème siècle pour encourager quelqu'un à se reprendre en main, à se calmer ou à se ressaisir. Elle fait référence à l'idée de rassembler ses forces et ses émotions pour faire face à une situation.",3
Speak of the devil,Quand on parle du loup,speakDevil.jpg,"Cette expression remonte à l'époque médiévale. On croyait alors qu'évoquer le nom du diable le faisait surgir.",2
To bite off more than you can chew,Avoir les yeux plus gros que le ventre,biteMore.jpg,"Cette expression est utilisée depuis le XIXème siècle pour décrire le fait de prendre plus de responsabilités ou de défis qu'on ne peut en gérer.",2
To be in a pickle,Avoir un petit problème,pickle.jpg,"Cette expression est utilisée depuis le XVIème siècle pour décrire une situation difficile ou embarrassante. Elle fait référence à l'idée d'être pris dans du vinaigre, comme un cornichon dans un bocal.",3
To butter someone up,Passer de la pomade,butterUp.jpg,"Cette expression est utilisée depuis le XVIème siècle pour décrire le fait de flatter quelqu'un pour obtenir ses faveurs. Elle fait référence à l'idée d'étaler du beurre sur du pain, symbole de douceur et de richesse.",3
In a nutshell,Très simplement/clairement,nutshell.jpg,"Cette expression est utilisée depuis le XVIème siècle pour décrire quelque chose de manière concise et claire. Elle fait référence à l'idée qu'une noix peut contenir un espace limité, donc l'information doit être condensée.",3
A bitter pile,Dur à avaler,bitterPile.jpg,"Cette expression est utilisée depuis le XVIème siècle pour décrire quelque chose de difficile à accepter ou à supporter. Elle fait référence à l'idée qu'une pilule amère est difficile à avaler.",3
Achille’s heel,Un talon d’Achille,achille.jpg,"Cette expression est utilisée depuis le XIXème siècle pour décrire un point faible ou une vulnérabilité. Elle fait référence à la légende d'Achille, héros grec invulnérable sauf au talon, qui a été tué par une flèche dans cette partie du corps.",1
Proud as a peacock,Fier comme un paon,peacock.jpg,"Cette expression est utilisée depuis le XVIème siècle pour décrire quelqu'un de très fier ou de vaniteux, comme les paons qui font la roue devant un public.",3
From A to Z,De A à Z/ en entier,aToZ.webp,"Cette expression est utilisée depuis le XIXème siècle pour décrire quelque chose de complet ou d'exhaustif. Elle fait référence à l'idée que l'alphabet commence par A et se termine par Z, donc couvrir toutes les lettres signifie couvrir tout le sujet.",1
Add insult to injury,Aggraver une situation,insult.jpg,"Cette expression du XVIème siècle décrit le fait d'aggraver une situation déjà mauvaise en ajoutant une offense ou une insulte. Elle fait donc référence à l'idée qu'une blessure physique peut être suivie d'une blessure verbale.",3
The apple of my eye,La prunelle de mes yeux,appleEye.jpg,"Cette expression est utilisée depuis le XVIème siècle pour décrire quelqu'un ou quelque chose de très cher ou de précieux comme la prunelle qui est la partie centrale et vitale de l'œil.",3
Put all your eggs in one basket,Mettre tous ses œufs dans le même panier,eggsOne.jpg,"Cette expression est utilisée depuis le XVIIème siècle pour décrire le fait de risquer tout ce qu'on a dans une seule entreprise ou investissement. On risque ainsi de tout perdre en cas de chute",1
Drive you crazy,Rendre fou,driveYouCrazy.webp,"Cette expression datant du XIXème siècle ferait référence à l'idée de conduire une voiture de manière erratique ou dangereuse, symbole de perte de contrôle.",3
Bob’s your uncle,Tout va bien se passer,bobUncle.jpg,"Voici une expression politique. Elle remonte en effet à l'histoire de favoritisme impliquant le Premier ministre britannique Robert 'Bob' Cecil accusé d'avoir accordé un poste clé à son neveu en 1887.",4
Like taking candy off a baby,C’est très facile à faire,candyBaby.webp,"Cette expression est utilisée depuis le XIXème siècle. Elle pourrait faire référence à l'idée qu'un bébé ne peut pas résister à un bonbon, donc le lui prendre est facile.",4
Every cloud has a silver lining,Il y a toujours une part de positif,cloudLining.jpg,"Cette expression est utilisée depuis le XVIème siècle pour encourager à voir le côté positif d'une situation difficile. Elle fait référence à l'idée qu'après la pluie, les nuages peuvent avoir une bordure argentée, symbole d'espoir.",4
A pain in the neck,Une épine dans le pied,painNeck.jpg,"Datant du XIXème siècle, cette expression fait référence à une douleur qui n'est pas grave mais pénible. Cela peut donc être moral ou physique.",3
Cost an arm and a leg,Ça coûte un bras,armLeg.jpg,,2
To play it by ear,Avancer à l’aveuglette,playEar.jpg,"Cette expression est utilisée depuis le XIXème siècle pour décrire le fait d'improviser ou de faire quelque chose sans plan préétabli. Elle fait référence à l'idée de jouer de la musique en écoutant plutôt qu'en lisant des partitions.",3
To get something off your chest,Dire ce qu’on a sur le cœur ,outYourChest.webp,,3
To keep an eye on something/someone,Garder un oeil sur quelqu’un,keepEye.jpg,,1
To go over your head,Ne pas comprendre qqch,overYourHead.webp,,4
To catch somebody red-handed,Prendre quelqu’un la main dans le sac,redHanded.jpg,"Cette expression est utilisée depuis le XVème siècle pour décrire le fait de surprendre quelqu'un en train de faire quelque chose de mal ou d'illégal. Elle fait référence à l'idée que les mains rouges sont un signe de culpabilité, comme si elles étaient tachées de sang.",2
A little bird told me,Mon petit doigt m’a dit,littleBird.jpg,,2
Sleep with the fishes,Mourir,sleepWithFishes.webp,"Cette expression est utilisée depuis le XXème siècle pour décrire le fait de mourir, en particulier dans le milieu de la mafia. Elle fait référence à l'idée que les poissons sont les compagnons des morts dans l'eau, symbole de la fin de la vie.",4
Put the cat among the pigeons,Jeter un pavé dans la mare,catPigeons.webp,"Cette expression est utilisée depuis le XVIème siècle pour décrire le fait de causer des troubles ou des conflits. Elle fait référence à l'idée qu'un chat parmi les pigeons peut semer la panique et la confusion.",4
Let the cat out of the bag,Révéler un secret,catBag.jpg,Cette expression remonte aux marchés médiéévaux. En effet des vendeurs peu scrupuleux remplaçaient les cochons par des chats dans des sacs ce qui était une marchandise de moindre valeur. Si le chat sortait du sac et s'échappait: la supercherie était révélée.,4
To have a frog in one’s throat,Avoir un chat dans la gorge,frogThroat.webp,Dans la médecine médiévale les praticiens croyaient que les enrouements était causés par la présence d'un petit animal dans la gorge.,2
To eat like a horse,Manger comme un ogre,eatHorse.jpg,"Cette expression est utilisée depuis le XVIème siècle pour décrire quelqu'un qui mange beaucoup. Elle fait référence à l'idée qu'un cheval a besoin de beaucoup de nourriture pour maintenir son énergie et sa force.",2
To be a people person,Être extraverti,,,5
Selling like hotcakes,Se vendre comme des petits pains,sellingLikeHotcakes.webp,"L'expression est née dans les années 1800, lorsque des versions simplifiées à base de semoule de maïs étaient vendues lors des ventes de pâtisseries de l'église et récupérées par la congrégation avant qu'elles ne refroidissent.",2
Win-win situation,Gagnant-gagnant,,,1
Test the waters,Tâter le terrain,testWaters.jpg,"Cette expression est utilisée depuis le XVIème siècle pour décrire le fait de tester une idée ou une situation avant de s'engager pleinement. Elle fait référence à l'idée de tester la température ou la profondeur de l'eau avant de plonger.",3
To be a stone’s throw,Être à deux pas,stoneThrow.jpg,"Cette expression est utilisée depuis le XVIème siècle pour décrire quelque chose de très proche ou de facilement accessible. Elle fait référence à l'idée qu'un jet de pierre peut atteindre une courte distance.",3
Actions speak louder than words,Les actions parlent plus que les mots,actionsWords.jpg,,1
Add fuel to the fire,Mettre de l’huile sur le feu,fuelFire.jpg,"Cette expression est utilisée depuis le XVIème siècle pour décrire le fait d'aggraver une situation déjà tendue ou conflictuelle. Elle fait référence à l'idée qu'ajouter du combustible à un feu peut augmenter sa taille et son intensité.",1
At a crossroads,Etre à un carrefour de sa vie,crossroads.jpg,"Cette expression est utilisée depuis le XIXème siècle pour décrire une situation où il faut choisir entre plusieurs options ou directions. Elle fait référence à l'idée qu'un carrefour est un point de rencontre de plusieurs chemins, symbole de choix et de décision.",1
To bury one’s head in the sand,Faire l’autruche,headSand.jpg,"Cette expression est utilisée depuis le XVIème siècle pour décrire le fait d'éviter de faire face à une situation difficile ou désagréable. Elle fait référence à l'idée qu'une autruche enterre sa tête dans le sable pour échapper au danger, symbole de déni ou de fuite.",2
By the skin of one’s teeth,À la sueur de son front,skinTeeth.jpg,Cette expression a une origine biblique. Job affirme en effet 'I am escaped by the skin of my teeth'.,5
Call a spade a spade,Appeler un chat un chat,spade.jpg,"Première apparition en anglais par Nicholas Udall dans sa traduction de l'œuvre "Les Adages" d'Érasme en 1542 où il a transformé le proverbe latin "Plauto syca syca pronuntiato" en "to call a spade a spade"",2
It’s cheap as chips,C’est une bonne affaire,chipAsChips.webp,"Cette expression provient directement du Royaume-Uni où les "chips" (frites) sont un aliment de base très abordable",4
Call it a day,Suffire pour aujourd'hui ,callItADay,"L'expression d'origine était 'call it half a day', et était utilisée lorsque les travailleurs rentraient avant la fin de leur journée de travail. Elle a ensuité été déclinée pour signifier une journée pleine de travail",4
Chinese whispers,Une rumeur,whispers.jpg,"Cette expression est utilisée depuis le XIXème siècle pour décrire le phénomène de déformation d'une information qui passe de bouche à oreille. Elle fait référence à l'idée que les Chinois ont une langue et une culture différentes, donc leur communication peut être sujette à des malentendus ou des distorsions.",3
Couldn’t care less,,,,3
Curiosity killed the cat,La curiosité est un vilain défaut,curiosityCat.jpg,"Cette expression est utilisée depuis le XVIème siècle pour mettre en garde contre les dangers de la curiosité excessive ou mal placée. Elle fait référence à l'idée qu'un chat curieux peut se mettre en danger en explorant des endroits inconnus ou interdits.",2
To cut a long story short,Pour faire court,storyShort.jpg,"Cette expression est utilisée depuis le XVIème siècle pour abréger un récit ou une explication. Elle fait référence à l'idée de couper quelque chose de long pour le rendre plus court et plus facile à gérer.",3
Cut corners,Aller au plus simple,cutCorners.jpg,"Apparue dans les années 1800, elle représente l'action métaphorique de couper un coin plutôt que de faire le vrai chemin en entier.",5
Don’t run before you can walk,Ne pas vendre la peau de l’ours avant de l’avoir tué,runBeforeWalk.webp,"Cette expression est utilisée depuis le XVIème siècle pour conseiller de procéder par étapes et de ne pas se précipiter dans une action ou une décision. Elle fait référence à l'idée qu'un bébé doit apprendre à marcher avant de courir, symbole de progression et de maturité.",2
Desperate times call for desperate measures,A temps désespérés mesures désespérées,desperatesTimes.webp,"Cette phrase trouve son origine dans une idée exprimée par l'ancien physicien grec Hippocrates. Dans son oeuvre Amorphisms, il écrivait: 'For extreme diseases, extreme methods of cure, as to restriction, are most suitable.'",2
The elephant in the room,,elephantRoom.jpg,"Cette expression est utilisée depuis le XXème siècle pour décrire un problème ou une question évidente mais non abordée dans une conversation ou une situation. Elle fait référence à l'idée qu'un éléphant dans une pièce est impossible à ignorer, symbole de l'inconfort ou de la gêne causée par le silence ou l'évitement.",4
Follow in someone’s footsteps,Marcher dans les traces de qqn,footsteps.jpg,,1
To get out of hand,Être hors de contrôle,outOfHands.jpg,"Cette phrase provient de l'équitation. En d'autres termes, les rênes du cheval ne sont plus entre les mains du cavalier.",3
Get over something,Passer à autre chose,overSomething.webp,"L'origine de l'expression date du XIVè siècle et signifiait 'recouvrer'. Elle est apparue dans la littérature en 1839 dans un livre de John Behervaise.",3
Get up on the wrong side of the bed,Se lever du mauvais pied,sideBed.jpg,"Les romains faisaient très attention de toujours se lever du bon côté de leur lit. Se lever le pied gauche en premier était considérer comme un signe d'une très mauvaise journée à venir...",2
Give someone the benefit of the doubt,Laisser le bénéfice du doute,benefitDoubt.jpg,"L'expression était initialement connue comme un terme légal aux États-Unis et en Angleterre. Il a été utilisé pour la première fois dans un tribunal Irlandais: 'if the jury entertain a reasonable doubt upon the truth of the testimony of witnesses... they are bound to acquit",1
The grass is always greener (on the other side),L’herbe est plus verte ailleurs,grassGreener.jpg,"L'expression provient du poète Grec Ovide et était originellement 'The harvest is always richer in another man's field.'. Sa version actuelle a été popularisé dans une musique folklorique anglaise crée par Raymond B. Egan et Richard A. Whiting en 1924",1
To have green fingers,Avoir la main verte,greenFingers.jpg,"La première apparition de cette expression remonte à 1906 dans un roman Écossais de Mary Stuart Boyd: 'What old wives call 'green fingers': those magic digits that appear to ensure the growth of everything they plant.'.",2
To have eyes in the back of your head,Avoir des yeux dans le dos / derrière la tête,eyesHead.jpg,,1
Hit the books,Se mettre sérieusement au travail,hitBooks.jpg,"Bien que personne ne sache l'origine de l'expression, elle semble connectée à d'autres du type 'hit the trail' que les cowboy utilisaient au début de leur voyage",5
Hold your horses,Minute papillon,holdHorses.jpg,"Avant l'apparition de la voiture, le transport en cheval était commun. Ainsi l'expression était littéralement utilisée afin d'indiquer à quelqu'un de s'arrêter ou de ne pas bouger",2
Ignorance is bliss,L’ignorance est une vertu,ignorance.jpg,"Utilisée pour la première fois par le poète anglais Thomas Gray en 1742 dans 'Ode on a Distant Prospect of Eton College'.",2
It’s not rocket science,C’est pas sorcier,rocketScience.jpg,"L'expression a été popularisé aux États-Unis après la seconde guerre mondiale, lors du développement technologique au niveau des roquettes.",2
Jump on the bandwagon,Prendre le train en marche,jumpBandwagon.jpg,"L'expression est apparue en 1848, lorsque le fameux clown Dan Rice utilisait le train de son cirque pour transporter des hommes politiques à certains endroits où des discours de campagne devaient être menés",2
Leave no stone unturned,Ne rien laisser de côté / au hasard,stoneTurned.jpg,"L'expression référence une ancienne légende grecque dans laquelle ils essayaient de trouver un trésor caché par le général de l'armée adverses sous les rochers.",3
Let sleeping dogs lie,Laisser les choses comme elles sont,sleepDogs.jpg,"L'expression est apparue pour la première fois dans la langue anglaise dans un poème de Geoffrey Chaucer nommé 'Troilus and Criseyde' et publié en 1374",3
Miss the boat,Rater une opportunité,missBoat.jpg,"L'expression était à l'origine fréquemment utilisée de manière très littérale car les transports en bateau était nombreux. Elle est rapidement devenue part de la langue courant en Angleterre",3
No pain no gain,On n'obtient rien sans effort,painGain.jpg,"L'expression a été popularisé en 1982 par l'actrive Jane Fonda qui réalisaient de nombreuses vidéos d'aérobie et se servaient de cette expression comme d'un motivateur",4
Pull someone’s leg,Tu te joues de moi,pullLeg.jpg,"L'expression provient de l'Écosse. La théorie la plus courante est qu'elle fait référence au fait d'attraper la jambe d'un individu pour le faire tomber et paraitre stupide.",4
As a rule of thumb,D’expérience,ruleThumb.jpg,"Sa première apparition dans la langue anglaise date du XVIIè siècle. À cette époque, de nombreuses quantités étaient mesurées en utilisant la longueur ou la largeur du pouce.",5
To see eye to eye,Être d’accord / regarder dans la même direction ?,eyeEye.jpg,,5
To shed light on something,Mettre au clair / la lumière sur,,,3
To splash out,Jeter l'argent par les fenêtres,,,3
Stab someone in the back,Mettre un couteau dans le dos,stabBack.jpg,,1
To steal someone’s thunder,Voler la vedette,stealThunder.jpg,Datant du début du XVIIIème siècle cette expression vient de John Dennis. Cette inventeur du théâtre avait conçu un dispositif pour imiter le son du tonnerre. Cependant son invention fut utilisée dans une oeuvre pour laquelle il n'a pas été crédité. Il aurait ainsi déclaré qu'on lui aurait volé son tonnerre.,2
To stick to one’s guns,Camper sur ses positions,stickGun.jpg,,2
To hear something straight from the horse’s mouth,Entendre qqch directement de l’intéressé,horseMouth.jpg,,4
To take something with a pinch of salt,Prendre qqch avec des pincettes,pinchSlat.jpg,,3
The ball is in your court,La balle est dans ton camp,ballCourt.jpg,,1
The best of both worlds,,bestWorlds.jpg,Dans la pensée grecque ancienne on différenciait le monde sensible (des perceptions) du monde intelligible (des idées). Il faut ainsi prendre les avantages des deux mondes sans leurs inconvénients.,4
The final straw,Le coup de grâce,,,3
Through thick and thin,Contre vents et marées,,,2
Time flies when you’re having fun,Le temps passe vite quand on s’amuse,timeFlies.jpg,,2
To cross a bridge when we come to it,Faire chaque chose en son temps,crossBridge.jpg,,2
A wild goose chase,Une perte de temps/ inatteignable,,Cette expression est apparue dans la langue anglaise officiellement grâce à Shakespeare qui l'utilisa en 1592 dans Roméo et Juliette. De plus les cavaliers du XVIème siècle avaient tendance à pourchasser des oies sauvages dans de grandes courses pour s'amuser.,4
To kick the bucket, Mourir,kickBucket.jpg,Cette expression ferait référence à une ancienne méthode de mise à mort des animaux dans les boucheries. Le 'bucket' désigne le support sur lequel l'animal était suspendu.,4
To turn a blind eye, Tourner un oeil aveugle,blindEye.jpg,Cette expression est chargée d'histoire. Elle fait référence à l'Amiral Nelson lors de la Bataille de Copenhague. Ce dernier avait reçu un ordre de retraite mais ne voulait pas le suivre. Il a donc porté son téléscope à son oeil aveugle et prétendu ne pas voir le signal.,
To throw in the towel, Jeter l'éponge,throwTowel.jpg,L'origine de cette expression est le monde de la boxe. Quand un entraîneur trouve que son boxeur n'est plus en état de continuer le combat il va lancer une serviette sur le ring pour signifier son abandon. Ainsi cette expression marque l'action de renoncer/ de déclarer sa défaite.,
To bite the bullet, Mordre la balle/ faire face à une situation douloureuse avec courage,,En l'absence d'anesthésie pendant la guerre les médecins demandaient parfois aux patients de mordre dans une balle pour endurer une opération chirurgicale,
Cut the mustard, Etre à la hauteur/ répondre aux attentes,cutMustard.jpg,Deux origines sont possibles pour cette expression. Elle fait selon certains référence à l'expression 'to pass muster' qui signifie 'passer l'inspection' dont elle serait un dérivé phonétique. Pour d'autres elle fait référence à la difficulté de couper la moutarde sauvage.,5
